"","Area","variable","weighted_mean"
"1","Downtown Yonge","Total 0 To 4",2.60111355298292
"2","Downtown Yonge","Total 5 To 9",1.86870060224583
"3","Downtown Yonge","Total 10 To 14",1.35917655921935
"4","Downtown Yonge","Total 15 To 19",2.53112643596179
"5","Downtown Yonge","Total 20 To 24",14.3486963227788
"6","Downtown Yonge","Total 25 To 29",17.9911468525857
"7","Downtown Yonge","Total 30 To 34",15.8184257802226
"8","Downtown Yonge","Total 35 To 39",10.6933182363247
"9","Downtown Yonge","Total 40 To 44",6.46823610176216
"10","Downtown Yonge","Total 45 To 49",4.41899548427073
"11","Downtown Yonge","Total 50 To 54",4.00843411626777
"12","Downtown Yonge","Total 55 To 59",4.14395057215583
"13","Downtown Yonge","Total 60 To 64",3.84973721397781
"14","Downtown Yonge","Total 65 To 69",3.16546826730621
"15","Downtown Yonge","Total 70 To 74",2.50170510014399
"16","Downtown Yonge","Total 75 To 79",1.96142238785345
"17","Downtown Yonge","Total 80 To 84",1.12648053956947
"18","Downtown Yonge","Total 85 Or Older",1.1438658743709
"19","Downtown Yonge","Males 0 To 4",2.59648386488251
"20","Downtown Yonge","Males 5 To 9",1.87587904445852
"21","Downtown Yonge","Males 10 To 14",1.36665905703336
"22","Downtown Yonge","Males 15 To 19",2.40453402918536
"23","Downtown Yonge","Males 20 To 24",13.2756895531379
"24","Downtown Yonge","Males 25 To 29",17.4230622531848
"25","Downtown Yonge","Males 30 To 34",16.0842012264377
"26","Downtown Yonge","Males 35 To 39",11.4653694550252
"27","Downtown Yonge","Males 40 To 44",7.03214975783196
"28","Downtown Yonge","Males 45 To 49",4.6291478106481
"29","Downtown Yonge","Males 50 To 54",4.27433617944868
"30","Downtown Yonge","Males 55 To 59",4.4033040167214
"31","Downtown Yonge","Males 60 To 64",4.02809628015223
"32","Downtown Yonge","Males 65 To 69",3.1122879771108
"33","Downtown Yonge","Males 70 To 74",2.36978725637116
"34","Downtown Yonge","Males 75 To 79",1.78095497343915
"35","Downtown Yonge","Males 80 To 84",0.997760230948276
"36","Downtown Yonge","Males 85 Or Older",0.880297033982906
"37","Downtown Yonge","Females 0 To 4",2.63844152480126
"38","Downtown Yonge","Females 5 To 9",1.88171509188004
"39","Downtown Yonge","Females 10 To 14",1.367785980143
"40","Downtown Yonge","Females 15 To 19",2.68020528375817
"41","Downtown Yonge","Females 20 To 24",15.5270104363712
"42","Downtown Yonge","Females 25 To 29",18.7167770274546
"43","Downtown Yonge","Females 30 To 34",15.6276149826714
"44","Downtown Yonge","Females 35 To 39",9.88451989603594
"45","Downtown Yonge","Females 40 To 44",5.85675955858198
"46","Downtown Yonge","Females 45 To 49",4.16815419734745
"47","Downtown Yonge","Females 50 To 54",3.65914526925907
"48","Downtown Yonge","Females 55 To 59",3.77146848173232
"49","Downtown Yonge","Females 60 To 64",3.59944372900112
"50","Downtown Yonge","Females 65 To 69",3.17931250848566
"51","Downtown Yonge","Females 70 To 74",2.61557456240883
"52","Downtown Yonge","Females 75 To 79",2.1416887339047
"53","Downtown Yonge","Females 80 To 84",1.26885089234015
"54","Downtown Yonge","Females 85 Or Older",1.41553184382321
"55","Downtown Yonge","Average Age Of Total Population",37.3042469742831
"56","Downtown Yonge","Average Age Of Male Population",37.3891888403982
"57","Downtown Yonge","Average Age Of Female Population",37.0904485327223
"58","Downtown Yonge","Total Couple Families",45.6802075600463
"59","Downtown Yonge","Total Couples Without Children At Home",33.2889780099594
"60","Downtown Yonge","Total Couples With Children At Home",12.3912295500868
"61","Downtown Yonge","Married Couple Families",28.7194596599033
"62","Downtown Yonge","Married Without Children At Home",17.6926283282338
"63","Downtown Yonge","Married With Children At Home",11.0268313316695
"64","Downtown Yonge","Common Law Couple Families",16.9607479001429
"65","Downtown Yonge","Common Law Without Children At Home",15.5963496817256
"66","Downtown Yonge","Common Law With Children At Home",1.36439821841734
"67","Downtown Yonge","Total Lone Parent Families",8.6395848799075
"68","Downtown Yonge","Female Parent Families",7.19963588064461
"69","Downtown Yonge","Male Parent Families",1.43994899926289
"70","Downtown Yonge","Household Income 0 To 19999",13.021043439148
"71","Downtown Yonge","Household Income 20000 To 39999",15.4550821766413
"72","Downtown Yonge","Household Income 40000 To 59999",12.1668382844466
"73","Downtown Yonge","Household Income 60000 To 79999",11.3656417226309
"74","Downtown Yonge","Household Income 80000 To 99999",10.0144599534886
"75","Downtown Yonge","Household Income 100000 Or Over",37.9769344236447
"76","Downtown Yonge","Average Household Income",117918.684275428
"77","Downtown Yonge","Non Movers",35.93997853657
"78","Downtown Yonge","Movers",64.06002146343
"79","Downtown Yonge","Management",1.92302096322979
"80","Downtown Yonge","Business Finance Administration",26.7131130917332
"81","Downtown Yonge","Sciences",17.4119309334847
"82","Downtown Yonge","Health",7.43481375120614
"83","Downtown Yonge","Social Science Education Government Religion",13.7370000595039
"84","Downtown Yonge","Art Culture Recreation Sport",7.17691836158248
"85","Downtown Yonge","Sales And Service",19.0812384242908
"86","Downtown Yonge","Trades Transport Operators",5.03377480751466
"87","Downtown Yonge","Primary Industries",0.717788251002889
"88","Downtown Yonge","Manufacture And Utilities",0.770401356451451
"89","Downtown Yonge","No Certificate Diploma Or Degree",5.40415894820602
"90","Downtown Yonge","High School Certificate Or Equivalent",18.4255559024777
"91","Downtown Yonge","College CEGEPOr Other Certificate Or Diploma",10.854618865125
"92","Downtown Yonge","University Degree",65.3156662841913
"93","Downtown Yonge","Visible Minority Total",60.522478149106
