,Name,Year,Quarter,Day,Visits,Percentage
8,DowntownYonge,2024,Q4,Sunday,2897278.341,12.59590605
9,DowntownYonge,2024,Q4,Monday,3118657.139,13.5583495
10,DowntownYonge,2024,Q4,Tuesday,3514524.4,15.27938084
11,DowntownYonge,2024,Q4,Wednesday,3402925.167,14.79420362
12,DowntownYonge,2024,Q4,Thursday,3396784.954,14.76750906
13,DowntownYonge,2024,Q4,Friday,3484311.982,15.14803247
14,DowntownYonge,2024,Q4,Saturday,3187264.211,13.85661847
85,DowntownYonge,2024,Q3,Sunday,3067958.127,12.8647615
86,DowntownYonge,2024,Q3,Monday,3466644.572,14.53655942
87,DowntownYonge,2024,Q3,Tuesday,3381569.037,14.17981515
88,DowntownYonge,2024,Q3,Wednesday,3433386.752,14.39710056
89,DowntownYonge,2024,Q3,Thursday,3465289.654,14.53087789
90,DowntownYonge,2024,Q3,Friday,3628462.46,15.21510471
91,DowntownYonge,2024,Q3,Saturday,3404454.691,14.27578077
162,DowntownYonge,2024,Q2,Sunday,2915410.849,12.86965915
163,DowntownYonge,2024,Q2,Monday,3056360.796,13.49186229
164,DowntownYonge,2024,Q2,Tuesday,3234008.705,14.27606327
165,DowntownYonge,2024,Q2,Wednesday,3365607.758,14.85698824
166,DowntownYonge,2024,Q2,Thursday,3349901.536,14.78765539
167,DowntownYonge,2024,Q2,Friday,3440990.834,15.18975591
168,DowntownYonge,2024,Q2,Saturday,3291084.42,14.52801575
239,DowntownYonge,2024,Q1,Sunday,2797529.945,12.82220234
240,DowntownYonge,2024,Q1,Monday,2986189.104,13.68690297
241,DowntownYonge,2024,Q1,Tuesday,3133135.947,14.36041932
242,DowntownYonge,2024,Q1,Wednesday,3287752.27,15.06908797
243,DowntownYonge,2024,Q1,Thursday,3186088.804,14.60312351
244,DowntownYonge,2024,Q1,Friday,3322144.516,15.22672144
245,DowntownYonge,2024,Q1,Saturday,3105017.773,14.23154245
316,DowntownYonge,2023,Q4,Sunday,3101525.82,13.29329608
317,DowntownYonge,2023,Q4,Monday,3229925.622,13.84362411
318,DowntownYonge,2023,Q4,Tuesday,3330552.77,14.27491714
319,DowntownYonge,2023,Q4,Wednesday,3407988.888,14.60681225
320,DowntownYonge,2023,Q4,Thursday,3406278.492,14.5994814
321,DowntownYonge,2023,Q4,Friday,3572150.399,15.31041676
322,DowntownYonge,2023,Q4,Saturday,3283081.354,14.07145226
393,DowntownYonge,2023,Q3,Sunday,2674313.166,12.37978301
394,DowntownYonge,2023,Q3,Monday,2845472.706,13.17210531
395,DowntownYonge,2023,Q3,Tuesday,3102609.038,14.36242663
396,DowntownYonge,2023,Q3,Wednesday,3236829.321,14.98375177
397,DowntownYonge,2023,Q3,Thursday,3220951.5,14.91025103
398,DowntownYonge,2023,Q3,Friday,3268047.52,15.12826533
399,DowntownYonge,2023,Q3,Saturday,3254038.796,15.06341692
470,DowntownYonge,2023,Q2,Sunday,2579385.118,12.43078162
471,DowntownYonge,2023,Q2,Monday,2813147.175,13.55734666
472,DowntownYonge,2023,Q2,Tuesday,2982023.546,14.37120934
473,DowntownYonge,2023,Q2,Wednesday,3100972.436,14.94445746
474,DowntownYonge,2023,Q2,Thursday,3083405.019,14.85979514
475,DowntownYonge,2023,Q2,Friday,3207137.882,15.45609858
