Area,Construction Year,Percentage
Downtown Yonge,Pre 1960,5.9404
Downtown Yonge,1961-1980,11.6807
Downtown Yonge,1981-1990,10.8448
Downtown Yonge,1991-2000,11.2672
Downtown Yonge,2001-2005,5.06
Downtown Yonge,2006-2010,13.3926
Downtown Yonge,2011-2015,12.8813
Downtown Yonge,2016-2021,24.6821
Downtown Yonge,After 2021,4.2508
Toronto CMA,Pre 1960,17.6213
Toronto CMA,1961-1980,23.7454
Toronto CMA,1981-1990,12.7863
Toronto CMA,1991-2000,12.1339
Toronto CMA,2001-2005,8.1713
Toronto CMA,2006-2010,7.3894
Toronto CMA,2011-2015,7.3377
Toronto CMA,2016-2021,7.6741
Toronto CMA,After 2021,3.1406
